,name_customer,clear_date,document_create_date.1,due_in_date,total_open_amount,baseline_create_date,isOpen,delay
7481,SYSCO F systems,2020-03-06,2020-02-19,2020-03-05,22173.32,2020-02-19,0,1 days
7482,SYSCO  in,2019-05-17,2019-05-01,2019-05-16,46195.94,2019-05-01,0,1 days
7483,MEIJ co,2019-10-07,2019-07-24,2019-10-07,432.39,2019-07-24,0,0 days
7484,DECA co,2019-03-04,2019-02-26,2019-03-11,3980.14,2019-02-16,0,-7 days
7487,MARTIN corp,2019-10-16,2019-10-01,2019-10-11,2773.47,2019-10-01,0,5 days
7488,WAL-MAR associates,2019-01-10,2018-12-31,2019-01-15,72795.86,2018-12-31,0,-5 days
7490,C&S WH ,2019-12-30,2019-12-13,2019-12-28,16037.46,2019-12-13,0,2 days
7491,KRAFT  us,2020-03-27,2020-02-03,2020-03-10,18940.06,2020-02-04,0,17 days
7492,WEGMAN foundation,2019-05-01,2019-04-16,2019-05-01,33114.21,2019-04-16,0,0 days
7495,WAL-MAR corp,2019-11-19,2019-11-09,2019-11-24,7061.11,2019-11-09,0,-5 days
7496,MDV/ associates,2019-05-28,2019-05-10,2019-05-25,21352.6,2019-05-10,0,3 days
7497,WAL-MAR us,2019-03-21,2019-03-10,2019-03-25,53245.27,2019-03-10,0,-4 days
7498,WAL-MAR llc,2019-03-25,2019-03-11,2019-03-26,441.45,2019-03-11,0,-1 days
7499,KROGER llc,2019-10-18,2019-10-03,2019-10-18,152389.87,2019-10-03,0,0 days
7500,C&S WH trust,2020-01-22,2020-01-07,2020-01-22,83653.8,2020-01-07,0,0 days
7501,KROGER llc,2019-12-30,2019-12-14,2019-12-29,15642.11,2019-12-14,0,1 days
7502,SA us,2019-12-24,2019-12-08,2019-12-23,26758.28,2019-12-08,0,1 days
7503,TARG ,2019-12-26,2019-12-13,2019-12-28,10327.81,2019-12-13,0,-2 days
7504,H Y LO corp,2019-11-27,2019-11-07,2019-11-26,20349.39,2019-11-16,0,1 days
7506,WEST P associates,2020-02-06,2020-01-20,2020-01-30,23474.55,2020-01-20,0,7 days
7507,TARG llc,2019-10-21,2019-07-27,2019-10-10,18.51,2019-07-27,0,11 days
7508,WAL-MAR systems,2019-09-20,2019-09-10,2019-09-25,943.12,2019-09-10,0,-5 days
7509,MCL trust,2019-05-06,2019-04-17,2019-05-02,99544.02,2019-04-17,0,4 days
7510,CASEY ,2019-10-29,2019-10-23,2019-11-07,23915.67,2019-10-23,0,-9 days
7514,HY -  in,2020-02-21,2020-02-02,2020-02-17,47732.65,2020-02-02,0,4 days
7515,SMITH'S us,2019-07-11,2019-06-26,2019-07-11,103264.53,2019-06-26,0,0 days
7516,PERFOR co,2019-09-23,2019-09-10,2019-09-25,39209.94,2019-09-10,0,-2 days
7517,BAKEMAR corporation,2019-10-22,2019-09-28,2019-10-18,7290.12,2019-10-08,0,4 days
7520,KRAFT  ,2019-06-28,2019-05-06,2019-06-11,21168.84,2019-05-07,0,17 days
7521,KEHE  corporation,2019-02-22,2019-02-05,2019-02-20,7204.56,2019-02-05,0,2 days
7522,THE  corp,2019-07-24,2019-05-13,2019-05-24,48889.17,2019-05-14,0,61 days
7523,WAL-MAR corporation,2020-02-11,2020-01-31,2020-02-15,30646.49,2020-01-31,0,-4 days
7524,ASSOCIAT ,2019-09-30,2019-09-12,2019-09-27,217.94,2019-09-12,0,3 days
7525,ASSOCIAT us,2019-06-27,2019-06-13,2019-06-28,15089.56,2019-06-13,0,-1 days
7526,SMITH'S systems,2020-03-12,2020-02-26,2020-03-12,2561.68,2020-02-26,0,0 days
7527,ASSOCIAT corp,2019-08-30,2019-08-17,2019-09-01,2691.45,2019-08-17,0,-2 days
7528,COST systems,2019-02-25,2019-02-09,2019-02-24,10104.04,2019-02-09,0,1 days
7530,LOB systems,2019-06-21,2019-06-10,2019-06-21,14103.71,2019-06-11,0,0 days
7532,COST co,2019-08-08,2019-07-25,2019-08-09,7018.07,2019-07-25,0,-1 days
7533,DEC associates,2019-03-08,2019-03-08,2019-03-11,7177.54,2019-03-01,0,-3 days
7534,WAL-M in,2019-07-16,2019-06-30,2019-07-10,44562.83,2019-06-30,0,6 days
7535,WINC foundation,2019-04-29,2019-04-13,2019-04-28,18268.95,2019-04-13,0,1 days
7536,WAL-MAR foundation,2019-08-06,2019-07-27,2019-08-11,41411.32,2019-07-27,0,-5 days
7537,TARG foundation,2019-05-03,2019-04-16,2019-05-01,15497.12,2019-04-16,0,2 days
7539,WAL-MAR us,2019-05-24,2019-05-12,2019-05-27,19485.0,2019-05-12,0,-3 days
7541,ITWA foundation,2019-11-12,2019-10-30,2019-11-11,9365.96,2019-11-01,0,1 days
7542,WAL-MAR corp,2019-01-14,2019-01-02,2019-01-17,9815.89,2019-01-02,0,-3 days
7543,WAL-MAR co,2019-06-21,2019-06-11,2019-06-26,71451.03,2019-06-11,0,-5 days
7544,TARG corp,2020-02-28,2020-02-14,2020-02-29,7324.04,2020-02-14,0,-1 days
7545,COST co,2020-01-23,2020-01-09,2020-01-24,34761.5,2020-01-09,0,-1 days
7546,COST ,2019-11-18,2019-11-04,2019-11-19,85435.31,2019-11-04,0,-1 days
7548,MONDE associates,2019-08-13,2019-06-10,2019-08-09,9144.88,2019-06-10,0,4 days
7549,WAL-MAR us,2019-03-22,2019-03-12,2019-03-27,72567.52,2019-03-12,0,-5 days
7551,WAL-MAR trust,2020-01-29,2020-01-17,2020-02-01,12849.41,2020-01-17,0,-3 days
7552,COST us,2019-07-17,2019-07-03,2019-07-18,41621.06,2019-07-03,0,-1 days
7553,AM in,2019-02-20,2019-02-05,2019-02-20,328.32,2019-02-05,0,0 days
7554,BJ'S  associates,2019-12-04,2019-11-19,2019-12-04,311.0,2019-11-19,0,0 days
7555,SYSCO IN llc,2019-03-14,2019-02-10,2019-03-12,20460.85,2019-02-10,0,2 days
7556,PIGGLY trust,2019-11-13,2019-09-09,2019-11-13,2268.41,2019-09-09,0,0 days
7557,C&S WH co,2019-09-12,2019-08-28,2019-09-12,25649.54,2019-08-28,0,0 days
7558,WOODM corp,2019-12-20,2019-12-11,2019-12-26,86033.06,2019-12-11,0,-6 days
7559,WAL-MAR us,2019-12-02,2019-11-21,2019-12-06,42651.58,2019-11-21,0,-4 days
7560,LAWL co,2019-06-07,2019-05-10,2019-06-09,53871.84,2019-05-10,0,-2 days
7561,C&S WH associates,2020-01-15,2019-12-31,2020-01-15,39471.59,2019-12-31,0,0 days
7562,PUBLI llc,2019-09-23,2019-09-07,2019-09-22,108353.88,2019-09-07,0,1 days
7563,SYSCO  corp,2019-12-11,2019-11-11,2019-11-26,25262.72,2019-11-11,0,15 days
7564,WAL-MAR corporation,2019-08-19,2019-08-07,2019-08-22,3593.88,2019-08-07,0,-3 days
7565,COLOME co,2019-07-03,2019-06-02,2019-07-02,62168.1,2019-06-02,0,1 days
7566,BJ'S  us,2019-03-29,2019-03-14,2019-03-29,447.77,2019-03-14,0,0 days
7568,TARG us,2019-12-26,2019-12-08,2019-12-23,3332.78,2019-12-08,0,3 days
7569,SAFEW corporation,2019-07-30,2019-07-15,2019-07-30,52964.57,2019-07-15,0,0 days
7570,WAL MA systems,2020-04-14,2020-02-25,2020-03-31,16381.68,2020-02-25,0,14 days
7573,SYSCO F systems,2019-07-02,2019-05-28,2019-06-29,12033.98,2019-05-28,0,3 days
7575,SYSCO F corp,2019-04-29,2019-04-11,2019-04-26,29037.97,2019-04-11,0,3 days
7578,WAL-MAR llc,2019-12-26,2019-12-08,2019-12-23,5442.15,2019-12-08,0,3 days
7579,RESTA foundation,2019-09-25,2019-09-05,2019-09-25,2152.98,2019-09-05,0,0 days
7580,DEC associates,2019-04-01,2019-03-20,2019-04-08,1198.44,2019-03-16,0,-7 days
7581,METRO  systems,2019-06-26,2019-06-14,2019-06-28,45900.98,2019-06-18,0,-2 days
7582,C&S WH foundation,2019-06-28,2019-06-13,2019-06-28,20689.66,2019-06-13,0,0 days
7583,WAL-MAR in,2020-02-20,2020-02-03,2020-02-18,18325.81,2020-02-03,0,2 days
7584,AM systems,2019-03-27,2019-03-08,2019-05-12,167.28,2019-03-08,0,-46 days
7586,COST in,2019-05-21,2019-05-06,2019-05-21,20557.14,2019-05-06,0,0 days
7587,ASSOCIAT corp,2019-04-11,2019-03-26,2019-04-10,101169.15,2019-03-26,0,1 days
7588,TARG co,2020-02-11,2020-01-30,2020-02-14,9808.79,2020-01-30,0,-3 days
7589,WAL-MAR us,2019-06-27,2019-06-17,2019-07-02,1893.09,2019-06-17,0,-5 days
7590,D co,2019-04-23,2019-04-05,2019-04-20,21770.15,2019-04-05,0,3 days
7591,BJ'S  co,2019-12-23,2019-12-08,2019-12-23,1912.82,2019-12-08,0,0 days
7592,WAKE co,2019-05-28,2019-05-18,2019-06-02,115436.37,2019-05-18,0,-5 days
7593,NATC ,2019-04-04,2019-03-20,2019-04-04,3461.42,2019-03-20,0,0 days
7594,KRAFT  corporation,2019-05-03,2019-03-15,2019-04-19,14001.15,2019-03-15,0,14 days
7595,KROGER ,2020-01-28,2020-01-13,2020-01-28,115586.12,2020-01-13,0,0 days
7596,RESTA ,2019-11-05,2019-10-16,2019-10-31,221.51,2019-10-16,0,5 days
7597,WAL-MAR trust,2019-10-15,2019-09-24,2019-10-09,1992.45,2019-09-24,0,6 days
7598,SYSCO F in,2019-11-25,2019-10-22,2019-11-23,30498.98,2019-10-22,0,2 days
7599,SMITH'S corporation,2019-05-31,2019-03-27,2019-05-31,6032.97,2019-03-27,0,0 days
7600,RALEY trust,2019-06-12,2019-05-29,2019-06-13,69809.89,2019-05-29,0,-1 days
7601,DOT corp,2019-12-06,2019-11-16,2019-12-18,17509.24,2019-11-16,0,-12 days
7603,WEIS in,2020-01-30,2020-01-15,2020-01-30,69233.06,2020-01-15,0,0 days
7604,BJ'S  in,2019-04-01,2019-03-15,2019-03-30,365.87,2019-03-15,0,2 days
7605,POWE ,2019-08-22,2019-07-14,2019-08-13,2191.95,2019-07-14,0,9 days
7606,OK corporation,2019-05-31,2019-05-14,2019-05-29,78548.29,2019-05-14,0,2 days
7607,WAL-MAR llc,2019-02-28,2019-02-18,2019-03-05,32439.41,2019-02-18,0,-5 days
7608,KRAFT  us,2019-05-03,2019-03-22,2019-04-26,61651.2,2019-03-22,0,7 days
7609,LOB llc,2020-02-21,2020-02-07,2020-02-20,46573.24,2020-02-10,0,1 days
7610,BJ'S  foundation,2019-01-15,2018-12-30,2019-01-14,58.18,2018-12-30,0,1 days
7611,WAL-M us,2019-02-15,2019-01-23,2019-02-02,3326.54,2019-01-23,0,13 days
7613,KRAFT  in,2019-08-02,2019-06-18,2019-07-23,7851.28,2019-06-18,0,10 days
7614,WAL-MAR corp,2019-06-06,2019-05-26,2019-06-10,11263.37,2019-05-26,0,-4 days
7615,WAL-MAR co,2019-12-23,2019-12-12,2019-12-27,29223.8,2019-12-12,0,-4 days
7616,SUNN llc,2019-11-21,2019-10-21,2019-10-31,21060.0,2019-10-21,0,21 days
7617,WAL-MAR us,2019-07-08,2019-06-19,2019-07-04,1961.27,2019-06-19,0,4 days
7619,REST ,2019-02-22,2019-02-08,2019-02-23,31581.04,2019-02-08,0,-1 days
7620,WAL-MAR in,2020-03-09,2020-02-20,2020-03-06,4887.63,2020-02-20,0,3 days
7621,WAL-MAR us,2020-02-10,2020-01-24,2020-02-08,14384.43,2020-01-24,0,2 days
7622,ALBERT llc,2019-09-18,2019-09-03,2019-09-18,88043.01,2019-09-03,0,0 days
7623,WAL-MAR associates,2019-11-04,2019-10-18,2019-11-02,69771.37,2019-10-18,0,2 days
7625,WAL-MAR corporation,2019-05-13,2019-05-01,2019-05-16,34941.55,2019-05-01,0,-3 days
7626,CD F trust,2019-07-05,2019-05-29,2019-06-30,1406.1,2019-05-29,0,5 days
7627,REINHA in,2019-03-13,2019-02-14,2019-03-01,1064.96,2019-02-14,0,12 days
7628,WAL-MAR co,2019-04-23,2019-04-11,2019-04-26,15720.84,2019-04-11,0,-3 days
7629,SO in,2019-03-13,2019-02-25,2019-03-09,3406.95,2019-02-27,0,4 days
7631,SA ,2019-07-23,2019-07-06,2019-07-21,14502.44,2019-07-06,0,2 days
7632,C&S WH llc,2019-06-21,2019-04-15,2019-06-19,369.23,2019-04-15,0,2 days
7633,WAL-MAR corp,2019-09-19,2019-09-07,2019-09-22,52418.44,2019-09-07,0,-3 days
7634,BOZZU foundation,2019-06-17,2019-06-01,2019-06-16,64032.75,2019-06-01,0,1 days
7635,US  associates,2019-12-11,2019-12-04,2019-12-19,43428.99,2019-12-04,0,-8 days
7636,KRAFT F trust,2019-03-29,2019-02-12,2019-02-12,102051.84,2019-02-12,0,45 days
7637,COST in,2020-02-04,2020-01-21,2020-02-05,12807.38,2020-01-21,0,-1 days
7638,US  corp,2019-10-31,2019-10-16,2019-10-31,36685.05,2019-10-16,0,0 days
7639,SA in,2020-02-21,2020-02-07,2020-04-12,3646.18,2020-02-07,0,-51 days
7640,WAL-MAR llc,2020-02-07,2020-01-26,2020-02-10,16438.08,2020-01-26,0,-3 days
7641,BJ'S  co,2019-10-07,2019-09-21,2019-10-06,557.58,2019-09-21,0,1 days
7642,WAL-M us,2020-02-19,2020-02-02,2020-02-12,6019.67,2020-02-02,0,7 days
7643,COST corporation,2019-11-21,2019-11-07,2019-11-22,2333.56,2019-11-07,0,-1 days
7644,KRAFT F us,2019-05-31,2019-04-21,2019-04-21,546.0,2019-04-21,0,40 days
7645,BJ'S  co,2019-05-30,2019-05-15,2019-05-30,728.67,2019-05-15,0,0 days
7646,WAL-MAR us,2019-06-11,2019-05-31,2019-06-15,15541.99,2019-05-31,0,-4 days
7647,BJ'S  corp,2020-02-14,2020-01-30,2020-02-14,318.21,2020-01-30,0,0 days
7648,WAL-MAR corporation,2019-12-16,2019-12-03,2019-12-18,2510.71,2019-12-03,0,-2 days
7649,GORDON F in,2019-08-19,2019-07-31,2019-08-10,6636.36,2019-07-31,0,9 days
7650,LAUREL llc,2019-02-25,2019-02-10,2019-02-25,16561.69,2019-02-10,0,0 days
7651,KRAFT F co,2019-08-30,2019-07-02,2019-07-02,12336.48,2019-07-02,0,59 days
7652,HACKN co,2019-10-22,2019-10-08,2019-10-23,4382.98,2019-10-08,0,-1 days
7654,H E BUT foundation,2019-09-20,2019-09-06,2019-09-21,15639.46,2019-09-06,0,-1 days
7657,MCL ,2019-05-31,2019-05-15,2019-05-30,20625.57,2019-05-15,0,1 days
7658,C&S WH trust,2019-05-21,2019-05-06,2019-05-21,45141.68,2019-05-06,0,0 days
7660,BOARD us,2019-09-05,2019-08-09,2019-08-24,3988.83,2019-08-09,0,12 days
7662,GORDON F trust,2019-03-29,2019-03-11,2019-03-22,1884.62,2019-03-12,0,7 days
7663,GORDON F trust,2019-03-29,2019-03-11,2019-03-22,1884.62,2019-03-12,0,7 days
7664,OK systems,2019-09-20,2019-09-04,2019-09-19,54807.09,2019-09-04,0,1 days
7665,WAL-MAR associates,2019-07-23,2019-07-13,2019-07-28,471.56,2019-07-13,0,-5 days
7666,KING S associates,2019-10-30,2019-08-26,2019-10-30,6387.65,2019-08-26,0,0 days
7667,WAL-MAR trust,2019-05-28,2019-05-15,2019-05-30,1898.2,2019-05-15,0,-2 days
7668,FR trust,2019-05-28,2019-05-11,2019-05-26,38652.11,2019-05-11,0,2 days
7670,SA us,2019-08-05,2019-07-19,2019-08-03,7967.75,2019-07-19,0,2 days
7672,M B  systems,2019-10-21,2019-09-16,2019-10-18,41283.48,2019-09-16,0,3 days
7673,MBM  foundation,2019-04-30,2019-04-08,2019-04-28,5844.48,2019-04-08,0,2 days
7675,C&S WH trust,2020-02-25,2020-02-10,2020-02-25,3084.76,2020-02-10,0,0 days
7677,M B  systems,2019-03-26,2019-03-08,2019-03-23,5171.93,2019-03-08,0,3 days
7678,WAL-MAR corp,2020-01-21,2020-01-08,2020-01-23,2440.09,2020-01-08,0,-2 days
7679,KROGE corporation,2019-07-01,2019-06-15,2019-06-30,1191.28,2019-06-15,0,1 days
7680,SKID corporation,2019-11-14,2019-10-28,2019-11-12,139976.21,2019-10-28,0,2 days
7681,WAL-MAR corporation,2019-12-19,2019-12-08,2019-12-23,53049.08,2019-12-08,0,-4 days
7682,LOB associates,2019-02-15,2019-01-25,2019-02-14,65967.57,2019-02-04,0,1 days
7685,RESTA foundation,2019-07-03,2019-06-18,2019-07-03,3762.03,2019-06-18,0,0 days
7686,ALBER co,2019-09-03,2019-08-16,2019-08-31,51813.07,2019-08-16,0,3 days
7688,ESSEX  systems,2019-09-16,2019-09-03,2019-09-18,3504.0,2019-09-03,0,-2 days
7689,DECA ,2019-07-24,2019-07-22,2019-07-23,22939.97,2019-07-16,0,1 days
7691,WAL-MAR foundation,2019-08-20,2019-08-03,2019-08-18,65179.35,2019-08-03,0,2 days
7692,SYSC foundation,2019-02-14,2019-01-24,2019-02-10,10318.72,2019-01-31,0,4 days
7693,C&S WH corp,2020-02-24,2020-02-07,2020-04-12,25146.24,2020-02-07,0,-48 days
7696,SAFEW in,2019-10-24,2019-08-20,2019-10-24,1616.34,2019-08-20,0,0 days
7697,WAL-MAR associates,2019-06-03,2019-05-23,2019-06-07,376.9,2019-05-23,0,-4 days
7699,NASH  associates,2019-12-27,2019-12-13,2019-12-28,2570.64,2019-12-13,0,-1 days
7700,DEC co,2019-05-16,2019-05-09,2019-05-24,294.18,2019-05-01,0,-8 days
7701,DEC foundation,2019-01-15,2019-01-08,2019-01-24,1188.48,2019-01-01,0,-9 days
7702,GLOBA associates,2020-02-10,2020-01-11,2020-02-10,1131.2,2020-01-11,0,0 days
7703,C&S WH associates,2019-11-19,2019-11-03,2019-11-18,229166.54,2019-11-03,0,1 days
7704,BJ'S  corp,2019-04-08,2019-03-22,2019-04-06,342.56,2019-03-22,0,2 days
7705,LATIN corporation,2019-03-11,2019-02-22,2019-03-09,55496.74,2019-02-22,0,2 days
7706,DECA trust,2020-02-03,2020-01-28,2020-02-08,38.88,2020-01-16,0,-5 days
7707,PERFOR in,2019-11-13,2019-11-05,2019-11-25,61964.35,2019-11-05,0,-12 days
7708,WAL-M trust,2019-08-14,2019-07-24,2019-08-10,155678.81,2019-07-31,0,4 days
7710,SMITH'S corporation,2019-06-26,2019-06-11,2019-06-26,114169.6,2019-06-11,0,0 days
7711,BJ'S  ,2019-11-25,2019-11-10,2019-11-25,590.47,2019-11-10,0,0 days
7712,SUPE trust,2019-11-04,2019-10-16,2019-10-31,1388.94,2019-10-16,0,4 days
7713,KING S ,2019-08-28,2019-08-13,2019-08-28,29155.56,2019-08-13,0,0 days
7714,D'ALB us,2019-12-10,2019-11-15,2019-12-15,62728.86,2019-11-15,0,-5 days
7715,BROOKS corp,2019-05-20,2019-05-05,2019-05-20,75982.77,2019-05-05,0,0 days
7716,INGL co,2019-05-17,2019-05-02,2019-05-17,94064.6,2019-05-02,0,0 days
7717,WAL-MAR trust,2019-12-24,2019-12-13,2019-12-28,6988.77,2019-12-13,0,-4 days
7719,SUPE systems,2019-04-17,2019-04-02,2019-04-17,14049.72,2019-04-02,0,0 days
7720,DOT co,2019-12-05,2019-11-20,2019-12-24,66995.1,2019-11-20,0,-19 days
7721,PEA ,2019-11-29,2019-10-23,2019-11-22,52619.39,2019-10-23,0,7 days
7722,MRS GR systems,2020-01-31,2020-01-21,2020-02-05,49110.35,2020-01-21,0,-5 days
7723,SA systems,2020-02-04,2020-01-18,2020-02-02,13646.45,2020-01-18,0,2 days
7724,LOB corporation,2019-06-28,2019-06-08,2019-06-26,95893.73,2019-06-16,0,2 days
7725,WAL-MAR in,2019-04-19,2019-04-03,2019-04-18,8531.4,2019-04-03,0,1 days
7728,WAL-MAR systems,2019-09-12,2019-08-27,2019-09-11,31643.24,2019-08-27,0,1 days
7730,WAL-MAR trust,2019-08-12,2019-07-24,2019-08-08,551.05,2019-07-24,0,4 days
7734,BOZZU trust,2019-05-13,2019-04-24,2019-05-09,3311.91,2019-04-24,0,4 days
7735,C llc,2019-04-08,2019-03-21,2019-04-05,16650.16,2019-03-21,0,3 days
7736,BJ'S  in,2019-07-29,2019-07-12,2019-07-27,209.38,2019-07-12,0,2 days
7737,WAL-MAR in,2020-01-14,2020-01-04,2020-01-19,267.3,2020-01-04,0,-5 days
7738,FEDER corp,2019-10-31,2019-10-10,2019-10-29,206878.45,2019-10-19,0,2 days
7740,COSTCO systems,2019-10-02,2019-09-16,2019-09-27,5765.18,2019-09-17,0,5 days
7741,KROGER systems,2019-06-17,2019-05-31,2019-06-15,70651.34,2019-05-31,0,2 days
7743,DOLLAR llc,2019-10-07,2019-09-13,2019-11-17,52894.72,2019-09-13,0,-41 days
7744,COSTCO us,2019-11-01,2019-10-19,2019-11-01,7990.49,2019-10-22,0,0 days
7745,L&E IN ,2019-12-13,2019-11-15,2019-12-15,20131.46,2019-11-15,0,-2 days
7746,WAL-MAR us,2019-02-22,2019-02-08,2019-02-23,22706.41,2019-02-08,0,-1 days
7747,DECA corp,2019-03-04,2019-02-20,2019-03-11,2531.58,2019-02-16,0,-7 days
7748,SO foundation,2019-07-02,2019-06-14,2019-06-28,14552.68,2019-06-18,0,4 days
7749,COST associates,2019-12-27,2019-12-13,2019-12-28,86847.89,2019-12-13,0,-1 days
7750,KRFT FDS co,2019-11-01,2019-09-14,2019-10-19,36432.0,2019-09-14,0,13 days
7751,SUPE associates,2019-11-12,2019-10-26,2019-11-10,97770.6,2019-10-26,0,2 days
7752,QUI ,2019-10-23,2019-10-08,2019-10-23,74206.44,2019-10-08,0,0 days
7753,COST co,2019-04-26,2019-04-12,2019-04-27,62508.47,2019-04-12,0,-1 days
7754,SYSCO F systems,2019-09-30,2019-09-11,2019-09-26,21490.83,2019-09-11,0,4 days
7755,SYSCO  corp,2019-06-24,2019-06-06,2019-06-21,12331.4,2019-06-06,0,3 days
7756,H T H co,2020-03-13,2020-02-26,2020-03-12,2814.76,2020-02-26,0,1 days
7757,PIGGLY us,2019-12-30,2019-12-13,2019-12-28,54893.24,2019-12-13,0,2 days
7758,WAL-MAR trust,2019-03-26,2019-03-15,2019-03-30,669.34,2019-03-15,0,-4 days
7759,WAL-MAR systems,2019-11-20,2019-11-10,2019-11-25,29877.74,2019-11-10,0,-5 days
7760,PUBLI foundation,2019-02-25,2019-02-10,2019-02-25,9377.5,2019-02-10,0,0 days
7761,C&S WH systems,2020-02-18,2020-01-31,2020-02-15,18014.98,2020-01-31,0,3 days
7762,WAL-MAR foundation,2019-08-27,2019-08-17,2019-09-01,2951.38,2019-08-17,0,-5 days
7764,COSTCO ,2020-02-05,2020-01-12,2020-01-31,10402.36,2020-01-21,0,5 days
7767,WAL-MAR us,2019-02-11,2019-01-30,2019-02-14,12850.06,2019-01-30,0,-3 days
7768,C&S WH us,2019-10-16,2019-10-01,2019-10-16,5140.8,2019-10-01,0,0 days
7770,KRAFT F ,2019-03-29,2019-02-16,2019-02-16,8159.48,2019-02-16,0,41 days
7771,BJ'S  llc,2020-02-27,2020-02-12,2020-02-27,195.37,2020-02-12,0,0 days
7772,BJ'S  associates,2019-01-28,2019-01-11,2019-01-26,736.26,2019-01-11,0,2 days
7773,MEIJ foundation,2019-06-20,2019-04-16,2019-06-20,22454.81,2019-04-16,0,0 days
7774,GENERAL corporation,2019-06-21,2019-06-06,2019-06-21,23956.55,2019-06-06,0,0 days
7775,SMITH'S systems,2019-03-14,2019-02-27,2019-03-14,37200.95,2019-02-27,0,0 days
7776,WAL-MAR ,2019-04-23,2019-04-06,2019-04-21,1237.96,2019-04-06,0,2 days
7777,SYSCO F llc,2019-02-13,2019-01-26,2019-02-10,16693.5,2019-01-26,0,3 days
7778,TARG llc,2019-02-14,2019-01-26,2019-02-10,43737.52,2019-01-26,0,4 days
7779,ALBERT associates,2020-02-28,2020-02-04,2020-02-19,61246.26,2020-02-04,0,9 days
7780,C&S WH co,2019-06-04,2019-05-18,2019-06-02,130387.99,2019-05-18,0,2 days
7781,COST systems,2019-03-21,2019-03-06,2019-03-21,30407.83,2019-03-06,0,0 days
7784,SYSC corporation,2019-10-17,2019-09-13,2019-09-24,26177.74,2019-09-14,0,23 days
7785,KRAFT F associates,2019-03-29,2019-02-20,2019-02-20,3916.88,2019-02-20,0,37 days
7786,WAL-MAR co,2019-05-28,2019-05-14,2019-05-29,14514.38,2019-05-14,0,-1 days
7788,SYSC foundation,2019-06-18,2019-06-04,2019-06-19,7185.81,2019-06-04,0,-1 days
7789,SYSCO  corporation,2020-02-25,2020-01-18,2020-02-19,57546.45,2020-01-18,0,6 days
7790,WAL-MAR llc,2019-10-29,2019-10-19,2019-11-03,14642.9,2019-10-19,0,-5 days
7791,C&S WH in,2019-06-14,2019-05-31,2019-06-15,7329.16,2019-05-31,0,-1 days
7792,LOB systems,2019-05-03,2019-04-14,2019-05-02,90275.93,2019-04-22,0,1 days
7793,SYSC llc,2019-10-17,2019-09-28,2019-10-13,39647.36,2019-10-03,0,4 days
7794,PERFOR ,2019-07-16,2019-06-25,2019-07-15,31570.4,2019-06-25,0,1 days
7795,BJ'S  corp,2019-07-23,2019-07-08,2019-07-23,185.84,2019-07-08,0,0 days
7796,WAL-MAR associates,2019-08-14,2019-08-03,2019-08-18,7534.24,2019-08-03,0,-4 days
7797,MASTER in,2019-09-09,2019-08-26,2019-09-05,54788.56,2019-08-26,0,4 days
7798,SUPE systems,2020-01-29,2020-01-11,2020-01-26,28400.12,2020-01-11,0,3 days
7799,KROGER ,2019-10-11,2019-09-26,2019-10-11,70642.96,2019-09-26,0,0 days
7800,DOLLA ,2019-06-25,2019-06-10,2019-06-25,14824.32,2019-06-10,0,0 days
7801,SA systems,2019-05-17,2019-04-30,2019-05-15,12668.17,2019-04-30,0,2 days
7802,WAL-MAR systems,2019-08-27,2019-08-16,2019-08-31,1328.25,2019-08-16,0,-4 days
7803,SA ,2019-04-23,2019-04-09,2019-04-24,13069.55,2019-04-09,0,-1 days
7804,WAL-MAR associates,2019-11-29,2019-11-18,2019-12-03,48623.97,2019-11-18,0,-4 days
7805,BJ'S  us,2019-01-22,2019-01-02,2019-01-17,19595.15,2019-01-02,0,5 days
7806,DEC llc,2019-09-12,2019-09-07,2019-09-08,4912.09,2019-09-01,0,4 days
7807,WAL-MAR associates,2019-12-04,2019-11-24,2019-12-09,37212.42,2019-11-24,0,-5 days
7808,SYSC llc,2019-11-19,2019-10-16,2019-11-17,25090.33,2019-10-16,0,2 days
7810,KRAFT F corporation,2019-06-28,2019-05-30,2019-05-30,16346.4,2019-05-30,0,29 days
7811,TIMES corporation,2019-09-30,2019-09-13,2019-09-28,3525.92,2019-09-13,0,2 days
7812,DOT associates,2019-07-12,2019-06-27,2019-07-31,1071.71,2019-06-27,0,-19 days
7814,BOZZU llc,2019-05-31,2019-05-14,2019-05-29,64805.31,2019-05-14,0,2 days
7815,WAL-MAR associates,2019-01-24,2019-01-13,2019-01-28,1570.55,2019-01-13,0,-4 days
7816,SUPER  corp,2019-02-07,2019-01-23,2019-02-07,13727.05,2019-01-23,0,0 days
7820,KRAFT  ,2019-03-01,2019-01-12,2019-02-16,13867.0,2019-01-12,0,13 days
7821,TARG corp,2019-11-12,2019-08-31,2019-11-14,385.87,2019-08-31,0,-2 days
7823,WAL-MAR co,2019-10-16,2019-10-03,2019-10-18,41645.33,2019-10-03,0,-2 days
7825,WAL-MAR llc,2020-02-04,2020-01-19,2020-02-03,597.98,2020-01-19,0,1 days
7826,FR llc,2019-05-01,2019-04-16,2019-05-01,55374.51,2019-04-16,0,0 days
7827,SA foundation,2019-08-26,2019-08-10,2019-08-25,19432.03,2019-08-10,0,1 days
7828,SA associates,2019-05-07,2019-04-24,2019-05-09,2654.58,2019-04-24,0,-2 days
7829,LOB co,2019-11-29,2019-11-20,2019-12-02,54788.46,2019-11-22,0,-3 days
